1	[	[	O	(	O	15	DEP
2	Value	Value	B-NP	NN	O	15	DEP
3	of	of	B-PP	IN	O	2	NMOD
4	protein	protein	B-NP	NN	O	5	NMOD
5	array	array	I-NP	NN	O	3	PMOD
6	in	in	B-PP	IN	O	5	NMOD
7	the	the	B-NP	DT	O	8	NMOD
8	diagnosis	diagnosis	I-NP	NN	O	6	PMOD
9	of	of	B-PP	IN	O	8	NMOD
10	Helicobactor	Helicobactor	B-NP	NN	O	12	NMOD
11	pylori	pylori	I-NP	NN	O	12	NMOD
12	infection	infection	I-NP	NN	O	9	PMOD
13	in	in	B-PP	IN	O	12	NMOD
14	children	child	B-NP	NNS	O	13	PMOD
15	]	]	O	)	O	0	ROOT
16	.	.	O	.	O	15	P

1	To	To	B-VP	TO	O	2	VMOD
2	study	study	I-VP	VB	O	0	ROOT
3	the	the	B-NP	DT	O	4	NMOD
4	value	value	I-NP	NN	O	2	OBJ
5	of	of	B-PP	IN	O	4	NMOD
6	multiple	multiple	B-NP	JJ	O	8	NMOD
7	Helicobacter	Helicobacter	I-NP	NN	O	8	NMOD
8	pylori	pylori	I-NP	NN	O	13	NMOD
9	(	(	O	(	O	11	DEP
10	H.pylori	H.pylori	B-NP	NN	O	11	DEP
11	)	)	O	)	O	8	NMOD
12	antibody	antibody	B-NP	NN	O	13	NMOD
13	detection	detection	I-NP	NN	O	5	PMOD
14	by	by	B-PP	IN	O	4	NMOD
15	protein	protein	B-NP	NN	O	16	NMOD
16	array	array	I-NP	NN	O	14	PMOD
17	in	in	B-PP	IN	O	4	NMOD
18	the	the	B-NP	DT	O	19	NMOD
19	diagnosis	diagnosis	I-NP	NN	O	17	PMOD
20	of	of	B-PP	IN	O	19	NMOD
21	H.pylori	H.pylori	B-NP	NN	O	22	NMOD
22	infection	infection	I-NP	NN	O	20	PMOD
23	in	in	B-PP	IN	O	22	NMOD
24	children	child	B-NP	NNS	O	23	PMOD
25	.	.	O	.	O	2	P

1	Biopsy	Biopsy	B-NP	NN	O	2	NMOD
2	specimens	specimen	I-NP	NNS	O	13	SUB
3	obtained	obtain	B-VP	VBN	O	2	NMOD
4	by	by	B-PP	IN	O	3	VMOD
5	gastroscopy	gastroscopy	B-NP	NN	O	4	PMOD
6	from	from	B-PP	IN	O	5	NMOD
7	120	120	B-NP	CD	O	8	NMOD
8	children	child	I-NP	NNS	O	6	PMOD
9	with	with	B-PP	IN	O	8	NMOD
10	digestive	digestive	B-NP	JJ	O	12	NMOD
11	system	system	I-NP	NN	O	12	NMOD
12	symptoms	symptom	I-NP	NNS	O	9	PMOD
13	were	be	B-VP	VBD	O	0	ROOT
14	detected	detect	I-VP	VBN	O	13	VC
15	by	by	B-PP	IN	O	14	VMOD
16	rapid	rapid	B-NP	JJ	O	18	NMOD
17	urease	urease	I-NP	NN	O	18	NMOD
18	test	test	I-NP	NN	O	25	NMOD
19	(	(	O	(	O	21	DEP
20	RUT	RUT	B-NP	NN	O	21	DEP
21	)	)	O	)	O	18	NMOD
22	and	and	O	CC	O	25	NMOD
23	modified	modify	B-VP	VBN	O	25	NMOD
24	Giemsa	Giemsa	B-NP	NNP	O	25	NMOD
25	staining	staining	I-NP	NN	O	15	PMOD
26	.	.	O	.	O	13	P

1	Positivity	Positivity	B-NP	NN	O	8	SUB
2	in	in	B-PP	IN	O	1	NMOD
3	both	both	O	CC	O	7	NMOD
4	RUT	RUT	B-NP	NN	O	7	NMOD
5	and	and	O	CC	O	7	NMOD
6	Giemsa	Giemsa	B-NP	NNP	O	7	NMOD
7	staining	staining	I-NP	NN	O	2	PMOD
8	was	be	B-VP	VBD	O	0	ROOT
9	the	the	B-NP	DT	O	12	NMOD
10	``	``	I-NP	``	O	12	NMOD
11	gold	gold	I-NP	NN	O	12	NMOD
12	criterion	criterion	I-NP	NN	O	8	PRD
13	''	''	O	''	O	12	NMOD
14	of	of	B-PP	IN	O	12	NMOD
15	H.pylori	H.pylori	B-NP	NNP	O	16	NMOD
16	infection	infection	I-NP	NN	O	14	PMOD
17	.	.	O	.	O	8	P

1	Serum	Serum	B-NP	NN	O	2	NMOD
2	samples	sample	I-NP	NNS	O	6	SUB
3	of	of	B-PP	IN	O	2	NMOD
4	these	these	B-NP	DT	O	5	NMOD
5	patients	patient	I-NP	NNS	O	3	PMOD
6	were	be	B-VP	VBD	O	42	VMOD
7	obtained	obtain	I-VP	VBN	O	6	VC
8	and	and	O	CC	O	42	VMOD
9	the	the	B-NP	DT	O	10	NMOD
10	antibodies	antibody	I-NP	NNS	B-protein	42	SUB
11	against	against	B-PP	IN	O	10	NMOD
12	cytotoxin	cytotoxin	B-NP	NN	B-protein	16	NMOD
13	associated	associate	I-NP	VBN	O	12	AMOD
14	gene	gene	I-NP	NN	O	16	NMOD
15	A	A	I-NP	NN	O	16	NMOD
16	protein	protein	I-NP	NN	O	11	PMOD
17	(	(	O	(	O	19	DEP
18	CagA	CagA	B-NP	NN	B-protein	19	DEP
19	)	)	O	)	O	16	NMOD
20	,	,	O	,	O	10	P
21	vacuolating	vacuolate	B-VP	VBG	O	10	NMOD
22	toxin	toxin	B-NP	NN	O	23	NMOD
23	A	A	I-NP	NN	O	38	NMOD
24	(	(	O	(	O	26	DEP
25	VacA	VacA	B-NP	NN	B-protein	26	DEP
26	)	)	O	)	O	23	NMOD
27	,	,	O	,	O	38	P
28	urease	urease	B-NP	NN	O	38	NMOD
29	,	,	O	,	O	38	P
30	heat	heat	B-NP	NN	B-protein	32	NMOD
31	shock	shock	I-NP	NN	I-protein	32	NMOD
32	protein	protein	I-NP	NN	I-protein	38	NMOD
33	60	60	I-NP	CD	I-protein	32	NMOD
34	(	(	O	(	O	36	DEP
35	Hsp60	Hsp60	B-NP	NN	B-protein	36	DEP
36	)	)	O	)	O	32	NMOD
37	and	and	O	CC	O	38	NMOD
38	RdxA	RdxA	B-NP	NN	B-protein	21	OBJ
39	(	(	O	(	O	41	DEP
40	nitroreductase	nitroreductase	B-NP	NN	B-protein	41	DEP
41	)	)	O	)	O	38	NMOD
42	were	be	B-VP	VBD	O	0	ROOT
43	detected	detect	I-VP	VBN	O	42	VC
44	by	by	B-PP	IN	O	43	VMOD
45	protein	protein	B-NP	NN	O	47	NMOD
46	array	array	I-NP	NN	O	47	NMOD
47	technique	technique	I-NP	NN	O	44	PMOD
48	.	.	O	.	O	42	P

1	H.pylori	H.pylori	B-NP	NN	O	2	NMOD
2	infection	infection	I-NP	NN	O	3	SUB
3	was	be	B-VP	VBD	O	0	ROOT
4	identified	identify	I-VP	VBN	O	3	VC
5	according	accord	B-PP	VBG	O	4	VMOD
6	to	to	B-PP	TO	O	5	PMOD
7	the	the	B-NP	DT	O	10	NMOD
8	``	``	I-NP	``	O	10	NMOD
9	gold	gold	I-NP	NN	O	10	NMOD
10	criterion	criterion	I-NP	NN	O	6	PMOD
11	''	''	O	''	O	10	NMOD
12	in	in	B-PP	IN	O	10	NMOD
13	60	60	B-NP	CD	O	14	NMOD
14	children	child	I-NP	NNS	O	12	PMOD
15	.	.	O	.	O	3	P

1	Compared	Compare	B-PP	VBN	O	15	NMOD
2	with	with	B-PP	IN	O	1	VMOD
3	the	the	B-NP	DT	O	6	NMOD
4	``	``	I-NP	``	O	6	NMOD
5	gold	gold	I-NP	NN	O	6	NMOD
6	criterion	criterion	I-NP	NN	O	2	PMOD
7	''	''	O	''	O	6	NMOD
8	,	,	O	,	O	15	P
9	the	the	B-NP	DT	O	10	NMOD
10	goodness	goodness	I-NP	NN	O	15	NMOD
11	of	of	B-PP	IN	O	10	NMOD
12	fit	fit	B-NP	NN	O	11	PMOD
13	and	and	O	CC	O	15	NMOD
14	the	the	B-NP	DT	O	15	NMOD
15	coefficient	coefficient	I-NP	NN	O	31	SUB
16	of	of	B-PP	IN	O	15	NMOD
17	contingency	contingency	B-NP	NN	O	16	PMOD
18	in	in	B-PP	IN	O	15	NMOD
19	the	the	B-NP	DT	O	20	NMOD
20	diagnosis	diagnosis	I-NP	NN	O	18	PMOD
21	of	of	B-PP	IN	O	20	NMOD
22	H.pylori	H.pylori	B-NP	NN	O	23	NMOD
23	infection	infection	I-NP	NN	O	21	PMOD
24	of	of	B-PP	IN	O	23	NMOD
25	the	the	B-NP	DT	O	28	NMOD
26	following	follow	I-NP	VBG	O	28	NMOD
27	four	four	I-NP	CD	O	28	NMOD
28	groups	group	I-NP	NNS	O	30	NMOD
29	antibody	antibody	I-NP	NN	O	30	NMOD
30	detection	detection	I-NP	NN	O	24	PMOD
31	were	be	B-VP	VBD	O	0	ROOT
32	all	all	B-ADJP	RB	O	31	PRD
33	statistically	statistically	I-ADJP	RB	O	32	AMOD
34	significant	significant	I-ADJP	JJ	O	32	AMOD
35	(	(	O	(	O	39	DEP
36	P	P	B-NP	NN	O	38	SUB
37	<	<	O	SYM	O	38	VMOD
38	0.001	0.001	B-NP	CD	O	39	DEP
39	)	)	O	)	O	32	AMOD
40	:	:	O	:	O	31	P
41	anti-Ure	anti-Ure	B-NP	JJ	B-protein	42	NMOD
42	antibody	antibody	I-NP	NN	I-protein	46	NMOD
